No,long,lat,group,order,region,subregion,WALK,BIKE,CAR,TAXI,BUS,TRAIN,PARA
204,-114.6373901,35.0191803,2,204,arizona,NA,2,5,5,2,5,5,5
205,-114.6431274,35.10512161,2,205,arizona,NA,2,5,5,2,5,5,5
206,-114.6030197,35.12231064,2,206,arizona,NA,2,5,5,2,5,5,5
207,-114.5743637,35.17961121,2,207,arizona,NA,2,5,5,2,5,5,5
208,-114.5858307,35.23690414,2,208,arizona,NA,2,5,5,2,5,5,5
209,-114.5972824,35.28274155,2,209,arizona,NA,2,5,5,2,5,5,5
210,-114.6087418,35.35722733,2,210,arizona,NA,2,5,5,2,5,5,5
211,-114.6259384,35.40879059,2,211,arizona,NA,2,5,5,2,5,5,5
212,-114.6660461,35.45462799,2,212,arizona,NA,2,5,5,2,5,5,5
213,-114.6603088,35.50046539,2,213,arizona,NA,2,5,5,2,5,5,5
214,-114.6660461,35.54057312,2,214,arizona,NA,2,5,5,2,5,5,5
215,-114.6717758,35.60932922,2,215,arizona,NA,2,5,5,2,5,5,5
216,-114.6832352,35.66662216,2,216,arizona,NA,2,5,5,2,5,5,5
217,-114.7004166,35.71245956,2,217,arizona,NA,2,5,5,2,5,5,5
218,-114.7004166,35.79267502,2,218,arizona,NA,2,5,5,2,5,5,5
219,-114.6889572,35.88434601,2,219,arizona,NA,2,5,5,2,5,5,5
220,-114.7118759,35.91299438,2,220,arizona,NA,2,5,5,2,5,5,5
221,-114.7348022,35.95883179,2,221,arizona,NA,2,5,5,2,5,5,5
222,-114.7348022,36.01612854,2,222,arizona,NA,2,5,5,2,5,5,5
223,-114.7577133,36.06196594,2,223,arizona,NA,2,5,5,2,5,5,5
224,-114.7348022,36.10780334,2,224,arizona,NA,2,5,5,2,5,5,5
225,-114.7004166,36.11925888,2,225,arizona,NA,2,5,5,2,5,5,5
226,-114.6431274,36.14217758,2,226,arizona,NA,2,5,5,2,5,5,5
227,-114.5571823,36.15363693,2,227,arizona,NA,2,5,5,2,5,5,5
228,-114.4884262,36.13644791,2,228,arizona,NA,2,5,5,2,5,5,5
229,-114.3967514,36.13644791,2,229,arizona,NA,2,5,5,2,5,5,5
230,-114.3279953,36.11352921,2,230,arizona,NA,2,5,5,2,5,5,5
231,-114.3108139,36.04477692,2,231,arizona,NA,2,5,5,2,5,5,5
232,-114.2649765,36.02758408,2,232,arizona,NA,2,5,5,2,5,5,5
233,-114.2019424,36.02185822,2,233,arizona,NA,2,5,5,2,5,5,5
234,-114.1389236,36.03904724,2,234,arizona,NA,2,5,5,2,5,5,5
235,-114.1160049,36.09634018,2,235,arizona,NA,2,5,5,2,5,5,5
236,-114.0816269,36.13644791,2,236,arizona,NA,2,5,5,2,5,5,5
237,-114.0529785,36.21093369,2,237,arizona,NA,2,5,5,2,5,5,5
238,-114.0472488,36.84118652,2,238,arizona,NA,2,5,5,2,5,5,5
239,-114.0415192,36.99588394,2,239,arizona,NA,2,5,5,2,5,5,5
240,-113.8237991,36.99588394,2,240,arizona,NA,2,5,5,2,5,5,5
241,-113.537323,37.00161362,2,241,arizona,NA,2,5,5,2,5,5,5
242,-113.2794876,37.00161362,2,242,arizona,NA,2,5,5,2,5,5,5
243,-113.0044708,37.00161362,2,243,arizona,NA,2,5,5,2,5,5,5
244,-112.9070663,36.99588394,2,244,arizona,NA,2,5,5,2,5,5,5
245,-112.7294464,37.00161362,2,245,arizona,NA,2,5,5,2,5,5,5
246,-112.5403748,36.99588394,2,246,arizona,NA,2,5,5,2,5,5,5
247,-112.4143219,36.99588394,2,247,arizona,NA,2,5,5,2,5,5,5
248,-112.2080536,36.99588394,2,248,arizona,NA,2,5,5,2,5,5,5
249,-111.9502258,37.00161362,2,249,arizona,NA,2,5,5,2,5,5,5
250,-111.6866684,37.00161362,2,250,arizona,NA,2,5,5,2,5,5,5
251,-111.411644,37.00161362,2,251,arizona,NA,2,5,5,2,5,5,5
252,-111.3199692,37.00161362,2,252,arizona,NA,2,5,5,2,5,5,5
253,-111.2512131,36.99588394,2,253,arizona,NA,2,5,5,2,5,5,5
254,-111.1251602,36.99588394,2,254,arizona,NA,2,5,5,2,5,5,5
255,-110.8444138,37.00161362,2,255,arizona,NA,2,5,5,2,5,5,5
256,-110.7584686,36.99588394,2,256,arizona,NA,2,5,5,2,5,5,5
257,-110.6839905,36.99588394,2,257,arizona,NA,2,5,5,2,5,5,5
258,-110.5464783,36.99588394,2,258,arizona,NA,2,5,5,2,5,5,5
259,-110.3058319,37.00161362,2,259,arizona,NA,2,5,5,2,5,5,5
260,-110.0881042,37.00161362,2,260,arizona,NA,2,5,5,2,5,5,5
261,-110.0078964,37.00161362,2,261,arizona,NA,2,5,5,2,5,5,5
262,-109.9334106,36.99588394,2,262,arizona,NA,2,5,5,2,5,5,5
263,-109.715683,36.99588394,2,263,arizona,NA,2,5,5,2,5,5,5
264,-109.4120255,36.99588394,2,264,arizona,NA,2,5,5,2,5,5,5
265,-109.1484604,36.99588394,2,265,arizona,NA,2,5,5,2,5,5,5
266,-109.0395966,36.99588394,2,266,arizona,NA,2,5,5,2,5,5,5
267,-109.0453262,35.99893951,2,267,arizona,NA,2,5,5,2,5,5,5
268,-109.0510635,34.95042801,2,268,arizona,NA,2,5,5,2,5,5,5
269,-109.0510635,34.57227325,2,269,arizona,NA,2,5,5,2,5,5,5
270,-109.0567856,33.77586365,2,270,arizona,NA,2,5,5,2,5,5,5
271,-109.0510635,33.20290375,2,271,arizona,NA,2,5,5,2,5,5,5
272,-109.0567856,32.77891541,2,272,arizona,NA,2,5,5,2,5,5,5
273,-109.0567856,32.42368317,2,273,arizona,NA,2,5,5,2,5,5,5
274,-109.0567856,31.35225105,2,274,arizona,NA,2,5,5,2,5,5,5
275,-109.2344055,31.35225105,2,275,arizona,NA,2,5,5,2,5,5,5
276,-109.6240158,31.34652138,2,276,arizona,NA,2,5,5,2,5,5,5
277,-109.9964371,31.35225105,2,277,arizona,NA,2,5,5,2,5,5,5
278,-110.3516693,31.35225105,2,278,arizona,NA,2,5,5,2,5,5,5
279,-110.4777222,31.35225105,2,279,arizona,NA,2,5,5,2,5,5,5
280,-110.6324158,31.35225105,2,280,arizona,NA,2,5,5,2,5,5,5
281,-110.9876556,31.34652138,2,281,arizona,NA,2,5,5,2,5,5,5
282,-111.1194305,31.35797882,2,282,arizona,NA,2,5,5,2,5,5,5
283,-111.2970505,31.41527748,2,283,arizona,NA,2,5,5,2,5,5,5
284,-111.3887253,31.44392395,2,284,arizona,NA,2,5,5,2,5,5,5
285,-111.629364,31.51840973,2,285,arizona,NA,2,5,5,2,5,5,5
286,-112.0361633,31.65018845,2,286,arizona,NA,2,5,5,2,5,5,5
287,-112.3283768,31.74186325,2,287,arizona,NA,2,5,5,2,5,5,5
288,-112.66642,31.83926582,2,288,arizona,NA,2,5,5,2,5,5,5
289,-112.9299774,31.92520905,2,289,arizona,NA,2,5,5,2,5,5,5
290,-113.1878128,32.0054245,2,290,arizona,NA,2,5,5,2,5,5,5
291,-113.3482361,32.05698776,2,291,arizona,NA,2,5,5,2,5,5,5
292,-113.4685593,32.09709549,2,292,arizona,NA,2,5,5,2,5,5,5
293,-113.7435837,32.18877029,2,293,arizona,NA,2,5,5,2,5,5,5
294,-114.0357971,32.27471161,2,294,arizona,NA,2,5,5,2,5,5,5
295,-114.3165436,32.36065674,2,295,arizona,NA,2,5,5,2,5,5,5
296,-114.7004166,32.48097992,2,296,arizona,NA,2,5,5,2,5,5,5
297,-114.8092804,32.51535416,2,297,arizona,NA,2,5,5,2,5,5,5
298,-114.7978134,32.57838058,2,298,arizona,NA,2,5,5,2,5,5,5
299,-114.7691727,32.67005539,2,299,arizona,NA,2,5,5,2,5,5,5
300,-114.7348022,32.73308182,2,300,arizona,NA,2,5,5,2,5,5,5
301,-114.6889572,32.74453735,2,301,arizona,NA,2,5,5,2,5,5,5
302,-114.6545868,32.73880768,2,302,arizona,NA,2,5,5,2,5,5,5
303,-114.5915604,32.73880768,2,303,arizona,NA,2,5,5,2,5,5,5
304,-114.5514526,32.76172638,2,304,arizona,NA,2,5,5,2,5,5,5
305,-114.5228043,32.82475281,2,305,arizona,NA,2,5,5,2,5,5,5
306,-114.4769669,32.87631989,2,306,arizona,NA,2,5,5,2,5,5,5
307,-114.4769669,32.93361664,2,307,arizona,NA,2,5,5,2,5,5,5
308,-114.4826965,32.99663925,2,308,arizona,NA,2,5,5,2,5,5,5
309,-114.5399933,33.04247284,2,309,arizona,NA,2,5,5,2,5,5,5
310,-114.6603088,33.053936,2,310,arizona,NA,2,5,5,2,5,5,5
311,-114.7004166,33.08258438,2,311,arizona,NA,2,5,5,2,5,5,5
312,-114.7118759,33.13414764,2,312,arizona,NA,2,5,5,2,5,5,5
